Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-25 00:00:00-04:00,520.4000244140625,549.6799926757812,517.1799926757812,543.02001953125,638300,0.0,0.0
2024-04-26 00:00:00-04:00,452.0899963378906,479.8299865722656,425.1600036621094,428.80999755859375,2210500,0.0,0.0
2024-04-29 00:00:00-04:00,425.6099853515625,433.0799865722656,406.05999755859375,416.1000061035156,1106100,0.0,0.0
2024-04-30 00:00:00-04:00,415.5299987792969,415.5299987792969,396.0,396.8299865722656,864100,0.0,0.0
2024-05-01 00:00:00-04:00,396.0,407.2099914550781,393.3500061035156,396.0,528700,0.0,0.0
2024-05-02 00:00:00-04:00,400.8299865722656,409.94000244140625,387.989990234375,405.95001220703125,638800,0.0,0.0
2024-05-03 00:00:00-04:00,415.7900085449219,428.0,399.44000244140625,400.0799865722656,631700,0.0,0.0
2024-05-06 00:00:00-04:00,406.8399963378906,406.8399963378906,388.3699951171875,393.260009765625,533200,0.0,0.0
2024-05-07 00:00:00-04:00,395.8599853515625,408.80999755859375,391.6499938964844,406.4599914550781,505900,0.0,0.0
2024-05-08 00:00:00-04:00,401.1300048828125,415.94000244140625,400.0,413.30999755859375,464400,0.0,0.0
2024-05-09 00:00:00-04:00,411.5,423.8999938964844,409.0799865722656,410.5,419300,0.0,0.0
2024-05-10 00:00:00-04:00,410.79998779296875,417.94000244140625,409.8399963378906,410.6499938964844,264300,0.0,0.0
2024-05-13 00:00:00-04:00,410.94000244140625,413.2799987792969,401.5299987792969,403.0199890136719,250000,0.0,0.0
2024-05-14 00:00:00-04:00,405.44000244140625,408.67999267578125,397.05999755859375,405.2099914550781,282700,0.0,0.0
2024-05-15 00:00:00-04:00,409.7900085449219,414.3299865722656,406.239990234375,409.8800048828125,291800,0.0,0.0
2024-05-16 00:00:00-04:00,408.42999267578125,409.4200134277344,403.8599853515625,407.80999755859375,258700,0.0,0.0
2024-05-17 00:00:00-04:00,408.54998779296875,409.9800109863281,398.7099914550781,399.1400146484375,312600,0.0,0.0
2024-05-20 00:00:00-04:00,399.79998779296875,406.7099914550781,396.05999755859375,398.2799987792969,328500,0.0,0.0
2024-05-21 00:00:00-04:00,398.6199951171875,400.7300109863281,379.0299987792969,379.5199890136719,563700,0.0,0.0
2024-05-22 00:00:00-04:00,379.5199890136719,379.95001220703125,370.6499938964844,377.260009765625,974900,0.0,0.0
